104.93827160493828, 119.52941176470597
124.6913580246914, 139.29411764705878
143.20987654320987, 159.0588235294117
160.49382716049382, 177.41176470588232
176.5432098765432, 194.3529411764706
196.2962962962963, 211.29411764705878
216.04938271604937, 231.0588235294117
234.56790123456796, 249.41176470588232
253.08641975308643, 267.7647058823529
269.1358024691358, 284.7058823529411
286.4197530864198, 300.2352941176471
303.70370370370375, 317.17647058823525
318.5185185185186, 332.7058823529412
335.8024691358025, 349.6470588235294
350.6172839506173, 366.58823529411757
365.43209876543204, 380.7058823529411
381.4814814814816, 396.2352941176471
393.8271604938272, 411.7647058823528
412.34567901234567, 428.7058823529411
428.3950617283951, 445.6470588235294
446.91358024691357, 464
469.13580246913585, 485.17647058823525
486.4197530864198, 503.52941176470586
507.40740740740745, 524.7058823529411
527.1604938271605, 545.8823529411764
549.3827160493827, 565.6470588235293
570.3703703703704, 589.6470588235293
591.3580246913582, 608
614.814814814815, 629.1764705882351
637.037037037037, 653.1764705882351
655.5555555555557, 670.1176470588234
681.4814814814815, 694.1176470588234
706.172839506173, 720.9411764705881
727.1604938271605, 740.705882352941
745.679012345679, 759.0588235294116
769.1358024691358, 781.6470588235293
787.6543209876545, 801.4117647058822
807.4074074074074, 821.1764705882351
828.3950617283951, 842.3529411764704
853.0864197530866, 862.1176470588234
874.0740740740741, 883.2941176470587
891.3580246913582, 897.4117647058822
908.641975308642, 912.9411764705881
937.0370370370372, 936.9411764705881
966.6666666666667, 963.7647058823527
992.5925925925928, 982.1176470588233
924.6913580246915, 927.0588235294116
