mu, WZ+, WZ-, Wh+, Wh-, WW, N2C1xc, C1C1xc, N1 mass, N2C1 mass
325, 0.0151348, 0.197994, 0.184509, 0.00618133, 0.0970952, 0.202832, 0.0970952, 102.557, 360.592
350, 0.0171384, 0.14276, 0.137472, 0.00979252, 0.0720874, 0.151429, 0.0720874, 102.557, 387.639
375, 0.0140465, 0.103779, 0.103492, 0.0114731, 0.0547365, 0.114325, 0.0547365, 102.557, 414.595
400, 0.0109907, 0.0762733, 0.0785463, 0.0118921, 0.0416192, 0.0875708, 0.0416192, 102.557, 441.095
425, 0.00927384, 0.0569324, 0.0601685, 0.0115999, 0.0317485, 0.0680356, 0.0317485, 102.557, 467.048
450, 0.00775049, 0.0429078, 0.0466001, 0.010803, 0.0246405, 0.053314, 0.0246405, 102.557, 493.122
475, 0.00647902, 0.0325241, 0.0364539, 0.00977497, 0.0194084, 0.0420626, 0.0194084, 102.557, 519.726
500, 0.00546079, 0.0249576, 0.0287289, 0.00870143, 0.0154356, 0.0334497, 0.0154356, 102.557, 545.984
525, 0.00461182, 0.0194935, 0.0227909, 0.00765749, 0.0123385, 0.0268958, 0.0123385, 102.557, 571.656
550, 0.00391418, 0.0153719, 0.0182798, 0.00666371, 0.00990707, 0.021798, 0.00990707, 102.557, 597.246
575, 0.003335, 0.0121603, 0.0148094, 0.0057789, 0.00800229, 0.0177486, 0.00800229, 102.557, 623.711
600, 0.00284699, 0.00967966, 0.0119778, 0.00500405, 0.00652101, 0.0145493, 0.00652101, 102.557, 651.106
625, 0.00244737, 0.00776377, 0.00974038, 0.0042972, 0.00535017, 0.0119796, 0.00535017, 102.557, 678.266
650, 0.00211172, 0.00625338, 0.00800772, 0.00366596, 0.00440075, 0.0098708, 0.00440075, 102.557, 703.962
675, 0.00181225, 0.00505858, 0.00653659, 0.00313843, 0.00362615, 0.00815768, 0.00362615, 102.557, 728.056
700, 0.00155322, 0.00409783, 0.00532401, 0.00270655, 0.00299613, 0.00676443, 0.00299613, 102.557, 752.64
725, 0.00133476, 0.00332556, 0.00437987, 0.00231916, 0.0024844, 0.00561732, 0.0024844, 102.557, 777.785
750, 0.00114948, 0.00272257, 0.00359563, 0.00197262, 0.00205943, 0.00467792, 0.00205943, 102.557, 802.271
775, 0.000987987, 0.00223735, 0.00295306, 0.00169553, 0.00170823, 0.0039085, 0.00170823, 102.557, 826.209
800, 0.000841605, 0.00182434, 0.00246986, 0.00149573, 0.0014288, 0.00327085, 0.0014288, 102.557, 849.807
