mass,"['HZ+', 'WH+', 'WW']","['HZ-', 'WH-', 'WW']"
357,0.22468686364252843,0.23029341644643955
382,0.22043414933808728,0.20329252369332096
408,0.20610297375047806,0.19604175892067066
435,0.15504344240884463,0.14856455048012737
461,0.18198055914390698,0.17611582148337895
487,0.15924674094523802,0.14514067442402814
514,0.1189367133470535,0.10836899103828865
540,0.12403365945401794,0.11973725244509177
567,0.14014035527337426,0.10658319392053815
594,0.1425956574462884,0.12067273572030271
620,0.10552194214330861,0.11493501811218278
647,0.1331692040702382,0.11516110367704283
673,0.14520648611993053,0.16378138792131353
700,0.13297100218317656,0.14315332638286637
726,0.1447640055875738,0.15171737408042107
753,0.14828873039118962,0.17400744507171695
780,0.18314962053091163,0.16158206616753565
806,0.22205823174358894,0.21787325025753942
833,0.23486336950524223,0.25809575695496867
860,0.27100787585517894,0.26196775906190545
886,0.2867259693969965,0.2287727290481165
